Resource_ID,Category,Message_ID,Text,URL,Media,Audio,Video,Channel,Compulsory
Tr4,Information,In8_04,"Secondo Giuseppe Paolisso, presidente della Società italiana di gereontologia e geriatria, le esigenze alimentari degli anziani andrebbero suddivise a seconda della loro fascia dìetà: se fino ai 75 anni servono 1500-1600 calorie al giorno, l'apporto calorico corretto scende a 1300-1400 per le persone tra i 75 e gli 80 e a solo 1000-1100 calorie per gli ultraottantenni! I responsabili della ricerca hanno elaborato degli schemi alimentari perfetti per ognuna di queste fascie d'età: leggi l'articolo completo al seguente link per saperne di più!",http://www.salute24.ilsole24ore.com/articles/16208-terza-eta-mangiare-bene-con-2-euro-al-giorno-si-puo,,,,Messenger,Yes
Tr4,Information,In8_05,"Gli alimenti tipici della dieta mediterranea sono un vero elisir di lungavita! Ci proteggono da malattie cardiovascolari e tumori, permettendoci anche di non spendere un patrimonioi per mangiare bene. Leggi la notizia completa al seguente link.",http://www.salute24.ilsole24ore.com/articles/16208-terza-eta-mangiare-bene-con-2-euro-al-giorno-si-puo,,,,SMS,Yes
Tr4,Information,In8_06,"Spendere dai 50 ai 150 euro al mese mangiando sano è possibile! Verdure e frutta di stagione, olio EVO, cereali, carne bianca, uova e pesce azzurro, ovvero gli alimenti alla base della dieta mediterranea, ti permetteranno di nutrirti in modo equilibrato senza spendere tutta la tua pensione. Per esempio, una prima colazione a base di latte o yogurt con fette biscottate e pane bianco costa solo dai 30 ai 50 centesimi al giorno! Molti altri consigli sono disponibili nel libro ""Diete per anziani in tempi di crisi"", a cura della Società italiana di gerontologia e geriatria. Vai al link per saperne di più. ",http://www.salute24.ilsole24ore.com/articles/16208-terza-eta-mangiare-bene-con-2-euro-al-giorno-si-puo,,,,Messenger,Yes
Tr4,Information,In8_07,"Procurati subito il libro di Giuseppe Paolisso ""Diete per anziani in tempi di crisi"". Scoprirai che è possibile mangiare bene spendendo da 1,62 a 5,20 euro al giorno! Vai al link. ",http://www.salute24.ilsole24ore.com/articles/16208-terza-eta-mangiare-bene-con-2-euro-al-giorno-si-puo,,,,SMS,Yes
Prova1,Information,In4_01,Le truffe agli anziani si fanno di anno in anno sempre più frequenti. Vai a questo link per ottenere qualche semplice consiglio per non caderne vittima!,http://www.lastampa.it/2015/06/23/italia/cronache/aumentano-le-truffe-agli-anziani-ecco-le-pi-comuni-e-i-consigli-per-evitarle-6fbIZn4jMSXMDfZ1nnWDkN/pagina.html,,,,SMS,Yes
Prova1,Information,In4_02,"Moltissime truffe che si verificano quotidianamente a danno delle persone anziane sono attuate da persone che si fanno passare per funzionari di enti quali Inps, Enel, o Telecom. Ricorda sempre che il personale di questi enti non fa mai visite a domicilio senza avvertire telefonicamente per fissare una data e un'ora precise! Inoltre, è importante non fare mai entrare nessuno in casa tua senza che ti abbiano prima mostrato il loro tesserino di riconoscimento. Per non farti cogliere impreparato e venire a conoscenza delle altre truffe più comuni vai a questo link e leggi la notizia completa.",http://www.lastampa.it/2015/06/23/italia/cronache/aumentano-le-truffe-agli-anziani-ecco-le-pi-comuni-e-i-consigli-per-evitarle-6fbIZn4jMSXMDfZ1nnWDkN/pagina.html,,,,Messenger,Yes
Prova1,Information,In4_03,I metodi utilizzati dai truffatori per sottrarre denaro alle persone anziane sono estremamente vari. Per saperne di più sulle truffe più comuni leggi l'articolo completo relativo ai consigli della Polizia di Stato!,http://www.lastampa.it/2015/06/23/italia/cronache/aumentano-le-truffe-agli-anziani-ecco-le-pi-comuni-e-i-consigli-per-evitarle-6fbIZn4jMSXMDfZ1nnWDkN/pagina.html,,,,SMS,Yes
Prova1,Information,In4_04,"Per quanto una persona sembri onesta e gentile, non farti trarre in inganno: il mondo è pieno di persone malintenzionate! Se qualcuno che non conosci volesse, per esempio, entrare in casa tua per un controllo all'impianto elettrico o controllare le banconote che hai appena ritirato in posta, non ti fidare e non avere paura di sembrare maleducato. Se sospetti che qualcuno ti abbia truffato o che abbia tentato di farlo, inoltre, non esitare a chiamare il 112, il 113 e il 117. La tua denuncia contribuirà ad evitare che situazioni del genere si ripetano ancora! Leggi l'articolo completo per tanti altri consigli.",http://www.lastampa.it/2015/06/23/italia/cronache/aumentano-le-truffe-agli-anziani-ecco-le-pi-comuni-e-i-consigli-per-evitarle-6fbIZn4jMSXMDfZ1nnWDkN/pagina.html,,,,Messenger,Yes
Prova1,Information,In4_05,Hai subito una truffa o sospetti che qualcuno abbia cercato di truffarti? Non ti vergognare! Parlane con la tua famiglia e denuncia subito l'accaduto! Leggi l'articolo completo al seguente link.,http://www.lastampa.it/2015/06/23/italia/cronache/aumentano-le-truffe-agli-anziani-ecco-le-pi-comuni-e-i-consigli-per-evitarle-6fbIZn4jMSXMDfZ1nnWDkN/pagina.html,,,,SMS,Yes
Prova1,Information,In4_06,"Hai mai sentito parlare della truffa delle banconote? Non ti fidare mai se un sedicente dipendente dell'agenzia ti chiede di fargli controllare le banconote appena prelevate o ritirate per verificare che l'importo sia corretto o che non siano false! I truffatori esperti, infatti, sono in grado di sostituire in un batter d'occhio le tue banconote vere con del denaro falso. Fai anche sempre attenzione che nessuno possa vedere il tuo codice quando prelevi il denaro e ricorda di non tenere il pin del bancomat insieme alla tessera o nel portafogli. Vai all'articolo per altri utili consigli!",http://www.lastampa.it/2015/06/23/italia/cronache/aumentano-le-truffe-agli-anziani-ecco-le-pi-comuni-e-i-consigli-per-evitarle-6fbIZn4jMSXMDfZ1nnWDkN/pagina.html,,,,Messenger,Yes
Prova1,Information,In4_07,Un piccolo accorgimento per evitare di essere scippati? Cammina sempre sul lato del marciapiede più lontano dalla strada e tieni la borsa dal lato opposto alla carreggiata! Per maggiori informazioni vai al link.,http://www.lastampa.it/2015/06/23/italia/cronache/aumentano-le-truffe-agli-anziani-ecco-le-pi-comuni-e-i-consigli-per-evitarle-6fbIZn4jMSXMDfZ1nnWDkN/pagina.html,,,,SMS,Yes
In5,Information,In5_01,Ti piace viaggiare e vorresti continuare a farlo nonostante qualche problemino di salute legato all'età? Parlane con il tuo medico: saprà darti dei consigli utili in relazione al tuo stato di salute. Vai al link per leggere numerosi suggerimenti legati ai viaggi!,http://www.saninforma.it/biblioteca-della-salute/anziani-in-viaggio-tanti-consigli-utili,,,,SMS,Yes
In5,Information,In5_02,"Ogni volta che viaggi dovresti ricordarti di portare con te una piccola farmacia da viaggio con tutto ciò di cui potresti avere bisogno in caso di emergenza: antipiretici, analgesici e antinfiammatori sono fondamentali, così come un buon collorio e una pomata lenitiva per eventuali arrossamenti. Non dimenticare cerotti, bende e salviettine disinfettanti! E, se ti sposti in aereo, ricordati di tenere queste scorte nel bagaglio a mano, in modo da potervi avere accesso anche durante il viaggio in caso di necessità. Vai al link per tanti altri utili consigli!",http://www.saninforma.it/biblioteca-della-salute/anziani-in-viaggio-tanti-consigli-utili,,,,Messenger,Yes
In5,Information,In5_03,"Viaggiare è una delle grande gioie della vita e, se la tua situazione fisica te lo permette, non dovresti rinunciarci solo perché non sei più giovane! Vai al link per leggere utili informazioni per viaggiare in sicurezza e senza pensieri!",http://www.saninforma.it/biblioteca-della-salute/anziani-in-viaggio-tanti-consigli-utili,,,,SMS,Yes
In5,Information,In5_04,"Prima partire per un viaggio all'estero è sempre bene reperire qualche informazione in merito al sistema sanitario esistente in quel paese. In tutti i paesi dell'Unione Europea, insieme ad Islanda, Liechtenstein, Svizzera e Norvegia, è sufficiente avere con te la tua tessera sanitaria nazionale per ricevere assistenza. Se invece viaggerai al di fuori dell'Unione Europea, è bene stipulare un'assicurazione sanitaria. La tua agenzia di viaggi saprà anche fornirti i chiarimenti necessari in merito ad eventuali limiti in ciò che l'assicurazione copre, specialmente in caso di presenza di malattie croniche. Vai al link per ulteriori consigli in tema di viaggio!",http://www.saninforma.it/biblioteca-della-salute/anziani-in-viaggio-tanti-consigli-utili,,,,Messenger,Yes
In5,Information,In5_05,"Quando siamo in vacanza i ritmi e le abitudini cambiano, ma è necessario ricordarsi di prendere tutte le medicine! Leggi la lista completa dei consigli per le persone anziane in viaggio al seguente link.",http://www.saninforma.it/biblioteca-della-salute/anziani-in-viaggio-tanti-consigli-utili,,,,SMS,Yes
In5,Information,In5_06,"Sapevi che il calore e i raggi del sole hanno un effetto benefico sull'organismo? L'esposizione al sole, infatti, aiuta il nostro corpo ad assimilare correttamente la vitamina D, una componente importantissima per la forza e la salute delle ossa! Tuttavia, il sole può anche rappresentare un pericolo per la pelle, che con l'invecchiamento diventa sempre più sottile e soggetta a brutte ustioni. Esponiti al sole in maniera graduale, evita le ore centrali della giornata e usa sempre un fattore di protezione adeguato al luogo in cui ti trovi. I cappelli a tesa larga, inoltre, possono essere utili per proteggere la pelle del viso, che è particolarmente delicata, e per evitare colpi di calore. Vai all'articolo per tanti altri consigli!",http://www.saninforma.it/biblioteca-della-salute/anziani-in-viaggio-tanti-consigli-utili,,,,Messenger,Yes
In11,Information,In11_01,"Dopo una certa età tutte le attività quotidiane diventano più complicate, ma bastano dei piccoli accorgimenti per aumentare il livello di sicurezza in casa. Leggi l'articolo completo al seguente link per tanti utili consigli!",http://salute24.ilsole24ore.com/articles/17199-casa-smart-ma-non-solo-pochi-consigli-per-aiutare-gli-anziani-a-vivere-meglio,,,,SMS,No
In11,Information,In11_02,"Hai la sensazione di dimenticarti le cose sempre più spesso? Specialmente se vivi da solo, questo può diventare un problema molto serio. Tuttavia bastano dei piccoli accorgimenti per porre rimedio ai deficit di memoria: perché non provi ad annotare le medicine che prendi quotidianamente su una agenda e tieni un foglio vicino al telefono con tutti i numeri importanti? In questo modo ti sentirai molto più tranquillo e pronto per ogni evenienza! Vai al link per leggere altri consigli interessanti su come rendere più sicura la tua vita tra le mura domestiche.",http://salute24.ilsole24ore.com/articles/17199-casa-smart-ma-non-solo-pochi-consigli-per-aiutare-gli-anziani-a-vivere-meglio,,,,Messenger,No
In11,Information,In11_03,Sapevi che uno dei luoghi più pericolosi per gli anziani è il bagno della propria casa? Fai installare un sedile nella doccia o delle maniglie nella vasca per evitare brutte cadute! Leggi l'articolo al seguente link.,http://salute24.ilsole24ore.com/articles/17199-casa-smart-ma-non-solo-pochi-consigli-per-aiutare-gli-anziani-a-vivere-meglio,,,,SMS,No
In11,Information,In11_04,"Hai delle allergie o dei particolari problemi di salute che ti preoccupano quando ti trovi fuori casa da solo? Prova a scriverli su un foglio di carta da tenere insieme al documento di identità quando esci di casa. In questo modo, se dovessi avere bisogno di aiuto, qualcuno sarà in grado di prestarti il soccorso necessario in ogni momento! Gli inconvenienti in cui possono incorrere le persone anziane sono numerosi, ma non preoccuparti: alcune piccole misure precauzionali possono renderti la vita molto più semplice! Approfondisci l'argomento leggendo l'articolo completo al seguente link.",http://salute24.ilsole24ore.com/articles/17199-casa-smart-ma-non-solo-pochi-consigli-per-aiutare-gli-anziani-a-vivere-meglio,,,,Messenger,Yes
In11,Information,In11_05,"Dopo una certa età tutte le attività quotidiane diventano più complicate, ma bastano dei piccoli accorgimenti per aumentare il livello di sicurezza in casa. Vai al link per leggere tanti consigli interessanti!",http://salute24.ilsole24ore.com/articles/17199-casa-smart-ma-non-solo-pochi-consigli-per-aiutare-gli-anziani-a-vivere-meglio,,,,SMS,No
In11,Information,In11_06,"Per le persone di una certa età, gli incidenti domestici possono accadere con maggiore frequenza e avere conseguenze sempre più serie. Alcune piccole precauzioni, tuttavia, possono aiutarti a sentirti più tranquillo all'interno delle mura di casa! Per esempio, se hai problemi di vista assicurati che tutte le stanze abbiano un buon sistema di illuminazione, così riuscirai a vedere meglio dove metti i piedi. Assicurati anche di eliminare i tappeti, in cui è molto facile inciampare nei momenti di distrazioni. Per altri utili suggerimenti leggi l'articolo completo al link.",http://salute24.ilsole24ore.com/articles/17199-casa-smart-ma-non-solo-pochi-consigli-per-aiutare-gli-anziani-a-vivere-meglio,,,,,No
In11,Information,In11_07,Sapevi che uno dei luoghi più pericolosi per gli anziani è il bagno della propria casa? Fai installare un sedile nella doccia o delle maniglie nella vasca per evitare brutte cadute! Leggi l'articolo al seguente link.,http://salute24.ilsole24ore.com/articles/17199-casa-smart-ma-non-solo-pochi-consigli-per-aiutare-gli-anziani-a-vivere-meglio,,,,SMS,No
In15,Information,In15_01,"Tutti sanno che ciò che mangiamo è fondamentale, ma pochi sono a conoscenza delle proprietà del digiuno:  secondo le ricerche del dottor Valter Longo, specializzato in nutrizione ed oncologia e direttore del Longevity Institute della University of Southern California, digiunare periodicamente è un ottimo modo per rimanere giovani più a lungo e per eliminare le tossine in eccesso presenti all'interno del nostro organismo. Vai all'articolo completo cliccando il seguente link.",http://www.ilgiornale.it/news/politica/dieta-perfetta-restare-pi-giovani-ogni-tanto-digiunare-1280923.html?mobile_detect=false,,,,Messenger,No
In15,Information,In15_02,"Sei una persona molto golosa e ti piacciono particolarmente i dolci tipici della tua regione? Con il raggiungimento della maggiore età dovresti fare sempre più attenzione a ciò che mangi, la dieta perfetta prevede infatti poche proteine, pochissimi zuccheri, carne al minimo e tanto pesce! Questo tipo di alimentazione consente di  non solo di tenere sotto controllo il peso, ma aiuta anche a prevenire malattie cardiovascolari, diabete, obesità, tumori e potenzialmente Alzheimer. Le diete ipocaloriche sembrano inoltre avere effetto  sulle malattie autoimmuni come la sclerosi multipla! Clicca sul link per avere maggiori informazioni.",http://www.ilgiornale.it/news/politica/dieta-perfetta-restare-pi-giovani-ogni-tanto-digiunare-1280923.html?mobile_detect=false,,,,Messenger,No
In15,Information,In15_03,"«Il digiuno periodico - spiega il dottor Valter Longo del Longevity Institute della University of Southern California- permette di riprogrammare il corpo in modo tale da farlo entrare in una modalità di invecchiamento più lento, ma anche di ringiovanirlo attraverso una rigenerazione che si basa sulle cellule staminali». Eliminare le proteine e riducendo le calorie per cinque giorni due o tre volte l'anno abbassa sennsibilmentei livelli di ormoni dell'invecchiamente e correlati alla predisposizione al cancro, il tutto senza influenze negative sulla massa muscolare ed ossea. Leggi l'articolo completo per saperne di più!",http://www.ilgiornale.it/news/politica/dieta-perfetta-restare-pi-giovani-ogni-tanto-digiunare-1280923.html?mobile_detect=false,,,,Messenger,No
In15,Information,In15_04,"«La dieta perfetta per restare più giovani: ogni tanto digiunare», scopri la ricetta dell'eterna giovinezza a questo link!",http://www.ilgiornale.it/news/politica/dieta-perfetta-restare-pi-giovani-ogni-tanto-digiunare-1280923.html?mobile_detect=false,,,,SMS,No
In15,Information,In15_05,"Eliminare calorie e proteine per cinque giorni due o tre volte all'anno consente di riprogrammare il corpo in modo da, non solo invecchiare più lentamente, ma anche  ringiovanire: leggi la ricetta del dottor Valter Longo.",http://www.ilgiornale.it/news/politica/dieta-perfetta-restare-pi-giovani-ogni-tanto-digiunare-1280923.html?mobile_detect=false,,,,SMS,No
In15,Information,In15_06,"Pasta e pane non vanno aboliti dalle nostre tavole, ma consumati con raziocinio. Leggi i consigli del dottor Longo per rimanere più sani più a lungo.",http://www.ilgiornale.it/news/politica/dieta-perfetta-restare-pi-giovani-ogni-tanto-digiunare-1280923.html?mobile_detect=false,,,,SMS,Yes
In15,Information,In15_07,"La ricetta dell'elisir di lunga vita del dottore Valter Longo: pochissime proteine animali, eliminare gli zuccheri raffinati, controllare la quantità di pasta e cereali e preferirli integrali. Per maggiori informazioni sulla dieta perfetta leggi l'articolo completo al link.",http://www.ilgiornale.it/news/politica/dieta-perfetta-restare-pi-giovani-ogni-tanto-digiunare-1280923.html?mobile_detect=false,,,,SMS,Yes
In16,Information,In16_01,Un cane è più che un animale da compagnia: condividere la vita con un amico a quattro zampe può aiutare a migliorare le proprie condizioni fisiche! Vai al link per saperne di più.,http://salute24.ilsole24ore.com/articles/18688-anziani-piu-in-salute-se-vivono-con-un-cane,,,,SMS,Yes
In16,Information,In16_02,"Secondo uno studio realizzato presso la facoltà di Medicina Veterinaria dellUniversità del Missouri  portare a passeggio il proprio cane permette di avere un indice di massa corporea inferiore, andare meno spesso dal medico e fare più spesso esercizio fisico. Andare a spasso con il cane al guinzaglio è quindi un vero e proprio modo per mantenersi in forma e godere di un migliore stato di salute!",http://salute24.ilsole24ore.com/articles/18688-anziani-piu-in-salute-se-vivono-con-un-cane,,,,Messenger,Yes
In16,Information,In16_03,Ricerche americane hanno dimostrato che possedere un cane e portarlo a passeggio è associato a un aumento della salute fisica degli anziani. Vai al link per saperne di più.,http://salute24.ilsole24ore.com/articles/18688-anziani-piu-in-salute-se-vivono-con-un-cane,,,,SMS,Yes
In16,Information,In16_04,Hai un cane? Sai che labitudine di portare il cane a passeggio aumenta la salute fisica degli anziani? Scopri di più a questo link.,http://salute24.ilsole24ore.com/articles/18688-anziani-piu-in-salute-se-vivono-con-un-cane,,,,SMS,Yes
In16,Information,In16_05,Hai mai pensato di prendere un cane? Prendersi cura di un animale domestico aiuta a garantirsi lattività fisica minima necessaria per mantenersi in salute: clicca il link e leggi l'articolo!,http://salute24.ilsole24ore.com/articles/18688-anziani-piu-in-salute-se-vivono-con-un-cane,,,,Messenger,Yes
In16,Information,In16_06,"Badare ad un animale da compagnia è un ottimo modo per sentirci meno soli e per soddisfare il nostro bisogno di prenderci cura di qualcuno. Tuttavia, a prescindere dai grandi vantaggi psicologici, forse non sapevi che avere un cagnolino può addirittura aiutarti a mantenerti in forma e ad avere sempre meno bisogno del dottore! Portare a spasso il cane, infatti, ti aiuta a fare l'esercizio fisico di cui hai bisogno per godere di un stato di salute migliore. Vai al seguente link per avere maggiori informazioni sull'argomento.",http://salute24.ilsole24ore.com/articles/18688-anziani-piu-in-salute-se-vivono-con-un-cane,,,,Messenger,Yes
In16,Information,In16_07,"Sapevi che portare a spasso il cane è un ottimo modo per fare attività fisica e per mantenerti in buone condizioni di salute? Inoltre, secondo le ricerche svolte presso la facoltà di Medicina Veterinaria dell'Università del Missouri negli Stati Uniti, passeggiare con il nostro amico a quattro zampe ha effetti positivi sulla socializzazione. Nella tua città ci sono tanti parchi e aree attrezzate per lasciare liberi i cagnolini, mentre tu potrai chiacchierare con gli altri padroni e fare nuove amicizie! Leggi l'articolo completo al seguente link.",http://salute24.ilsole24ore.com/articles/18688-anziani-piu-in-salute-se-vivono-con-un-cane,,,,Messenger,Yes
In17,Information,In17_01,Una ricerca americana ha scoperto che i ventenni sono molto meno felici rispetto alle persone in là con gli anni! Leggi l'articolo completo al link.,http://www.salute24.ilsole24ore.com/articles/19077-la-felicita-non-e-br-una-questione-per-br-ventenni-arriva-dopo,,,,SMS,Yes
In17,Information,In17_02,"Che cosa significa essere felici? La felicità è qualcosa di personale, di cui è difficile dare una definizione che metta tutti d'accordo. Tuttavia, i ricercatori dell'Università della California hanno scoperto che gli anziani soffrono di minori livelli di stress, ansia e depressione: le persone di una certa età godono di un migliore benessere psicologico rispetto ai giovani, che vivono una vita piena di problemi e preoccupazioni! Leggi di più a questo link.",http://www.salute24.ilsole24ore.com/articles/19077-la-felicita-non-e-br-una-questione-per-br-ventenni-arriva-dopo,,,,Messenger,No
In17,Information,In17_03,"Le persone al di là con gli anni hanno una maggiore capacità di apprezzare i piccoli piaceri quotidiani, apprezzano le relazioni con il prossimo e si sentono meglio con loro stesse rispetto a quando avevano 20 o 30 anni. Secondo una ricerca svolta su più di 1.500 individui tra i 21 e il 100 anni, sono proprio le persone più anziane quelle più felici! Secondo i ricercatori, ciò si deve alla saggezza che le persone acquisiscono con gli anni. Tu cosa ne pensi? Vai al link per leggere l'articolo completo!",http://www.salute24.ilsole24ore.com/articles/19077-la-felicita-non-e-br-una-questione-per-br-ventenni-arriva-dopo,,,,Messenger,No
In17,Information,In17_04,"Nonostante i primi problemi di salute, le persone ansiano soffrono di livelli inferiori di stress, depressione ed ansia! I ricercatori americani hanno scoperto che il vero periodo d'oro della vita è proprio la terza età :) Per saperne di più, vai al link.",http://www.salute24.ilsole24ore.com/articles/19077-la-felicita-non-e-br-una-questione-per-br-ventenni-arriva-dopo,,,,SMS,No
In22,Information,In22_01,I pomodori sono un alimento importantissimo per la nostra salute. Scopri le loro proprietà! Vai al link e leggi l'articolo.,http://www.today.it/benessere/alimentazione/pomodori-benefici-salute.html,,,,SMS,No
In22,Information,In22_02,"Sapevi che i pomodori sono ottimi per la pelle? Possono essere utilizzati anche per una maschera di bellezza.

",http://www.today.it/benessere/alimentazione/pomodori-benefici-salute.html,,,,SMS,No
In22,Information,In22_02,"Sapevi che i pomodori contengono molto Calcio e Vitamina K? Sono sostanze nutritive fondametali per la fortificazione delle ossa. Per saperne di più, vai al link e leggi l'articolo.",http://www.today.it/benessere/alimentazione/pomodori-benefici-salute.html,,,,SMS,No
In22,Information,In22_03,"I pomodori non possono mancare sulla nostra tavola durante la stagione estiva! Sono un alimento ideale per rinfrescarsi dall'arsura del caldo estivo. Ma oltre a essere buoni, fanno anche bene alla salute. Sono numerose le sostanze nutritive contenute in questi ortaggi. Per saperne di più, vai al link dell'articolo.",http://www.today.it/benessere/alimentazione/pomodori-benefici-salute.html,,,,Messenger,No
In22,Information,In22_04,"Sapevi che sono una fonte ricchissima di licopene? E'  una sostanza che si usa per la preparazione dei cosmetici per la cura della pelle. Se vuoi prenderti cura del tuo viso  in modo naturale, potresti utilizzare la polpa di qualche pomodoro fresco da applicare per qualche minuto sulla pelle. Per altri consigli sulla salute e la bellezza, vai al link dell'articolo.",http://www.today.it/benessere/alimentazione/pomodori-benefici-salute.html,,,,Messenger,No
In22,Information,In22_05,"Ricchi di anti-ossidanti e vitamine, i pomodori dovrebbero essere consumati preferibilmente crudi. Durante la cottura, infatti, disperdono molte delle loro preziose qualità, tra cui la Vitamina C. Se vuoi conoscere proprietà e caratteristiche di questo ortaggio, vai al link e leggi l'articolo intero.",http://www.today.it/benessere/alimentazione/pomodori-benefici-salute.html,,,,Messenger,No
Tr3,Information,In12_01,Influenza di stagione: ecco alcuni consigli utili per prevenirla e sconfiggerla. Vai al link e leggi l'articolo completo.,http://www.salute24.ilsole24ore.com/articles/19418-influenza-stagionale-5-cose-da-sapere-per-sconfiggerla,,,,SMS,No
Tr3,Information,In12_02,"Il virus dell'influenza colpisce tutti ma soprattutto i soggetti ""deboli"", bambini e anziani. l'organizzazione Mondiale della Sanità raccomanda di coprirsi naso e bocca quando si tossisce e si starnutisce, e di lavare regolarmente le mani.",http://www.salute24.ilsole24ore.com/articles/19418-influenza-stagionale-5-cose-da-sapere-per-sconfiggerla,,,,SMS,No
Tr3,Information,In12_03,"L'influenza stagionale colpisce maggiormente anziani e bambini. Di coseguenza è bene prevenire con un vaccino anti-influenzale, caldamente consigliato a donne incinte, bambini fino ai 5 anni e persone maggiori di 65 anni. Per saperne di più, vai al link e leggi l'articolo.",http://www.salute24.ilsole24ore.com/articles/19418-influenza-stagionale-5-cose-da-sapere-per-sconfiggerla,,,,Messanger,No
Tr3,Information,In12_04,"L'influenza di stagione si contagia facilmente per via aerea, è quindi consigliabile seguire alcune semplici regole. Per prevenire il contagio del virus, l'organizzazione Mondiale della Sanità raccomanda di coprirsi naso e bocca quando si tossisce e si starnutisce, e di lavare regolarmente le mani. Per saperne di più, vai al link e leggi l'articolo.",http://www.salute24.ilsole24ore.com/articles/19418-influenza-stagionale-5-cose-da-sapere-per-sconfiggerla,,,,Messanger,No
